ID,Country,Institution,Description,Contact,Link,Researchers,Students,Others,Accommodation,Funding,Remote work,General funding scheme,Other,Research focus,Natural sciences,Social sciences,Humanities and the arts,Engineering and technology,Medical and health sciences,Agricultural and veterinary sciences,Unspecified,Support period,Additional support,lat,lng
U510,France,University of Rouen Normandy,"Position for researchers, PAUSE programme 3-month with financial support and accomondations in Humanities Research Group (University of Rouen Normandy, France)",geraldine.vaughan@univ-rouen.fr,https://www.college-de-france.fr/site/programme-pause/PAUSE-Solidarite-Ukraine.htm,1,,,1,1,,,,"History, Philosophy, English Language, Linguistics, French literature etc.",,,1,,,,,3 months,,49.4441,1.0752
U511,Italy,DALIBOT S.R.L.,"We are offering an internship of 6 months for one person, about robotics, computer vision and artificial intelligence.\nWe offer accommodation and salary.",robotizza@dalibot.it,https://dalibot.it/en/,1,1,,1,1,,,,"Robotics, Computer Vision, Artificial Intelligence",,,,1,,,,From 1 April for 6 months,,45.3766,7.8915
U512,Germany,"Institute of Sport and Preventive Medicine, Saarland University","We can offer (temporary) student enrolment (Bachelor in German, Master in English), support for PhD students and Post-docs (supervision, lab facilities, access to participants), language courses and accommodation through the University. Skills should be a background in sport science, sport medicine or related fields. Various additional support can be offered via Saarland University.",sabrina.forster@uni-saarland.de,http://sportmedizin-saarbruecken.de/,1,1,,1,,,,,"Sport science, Sport medicine",,,,,1,,,,,49.2550,7.0388
U513,Germany,Department of Comparative Cultural Psychology Max Planck Institute for Evolutionary Anthropology,"The Department for Comparative Cultural Psychology offers 1 year post-doc stipends for researchers at risk from Ukraine with expertise in comparative, developmental or cross-cultural psychology. We offer full lab support, methods training and support when applying for future funding. Help finding children day care facilities, language courses, temporary accommodation.",info_ccp@eva.mpg.de,https://www.eva.mpg.de/comparative-cultural-psychology,1,,,,1,,,,"Comparative Psychology, Developmental Psychology, Cross-Cultural Psychology",,1,,,,,,12 months,,51.3210,12.3931
U514,Bulgaria,"Sirma AI, trading as Ontotext","Funded internship positions and full-time contract positions for researchers and students in CS in Sirma AI trading as Ontotext with main focus in AI, ML, NLP, Semantic technologies, Graph analytics, Data Science, Java developers, Python developers, etc. The company is located in Bulgaria, but remote work is an option from other locations. The official language for communication is English.",zlatina.marinova@ontotext.com,https://www.ontotext.com/,1,1,,,1,,,,"AI, ML, NLP, Semantic technologies, Graph analytics, Data Science",,,,1,,,,Negotiable,,42.6575,23.3481
U515,Romania,National Institute of Materials Physics,"National Institute of Materials Physics (NIMP), Magurele (near Bucharest), Romania offers support to any refugee from Ukraine who needs help. Our help can be more valuable to researchers, including Ph.D. Students, and technicians with skills in materials science (physics, chemistry, device engineering ), being possible to integrate them professionally and to offer also a salary. We have limited resources with respect to the accommodation, but help will be requested from the many volunteers and organizations which try to offer the needs for refugees. Other questions can be send to the contact.",ac_galca@infim.ro,https://infim.ro/en/home/,1,1,,1,1,,,,"Materials science, physics, chemistry, device engineering",1,,,1,,,,"At least 9 months, in the absence of unexpected situations.",,44.3496,26.0293
U516,Switzerland,"Climate Policy Lab, ETH Zurich",The Climate Policy Lab can provide office space and accommodation for 2-3 people. We might be able to offer support to obtain a visa for a research stay if the Ukrainian researcher's scientific interests are close enough to justify it.,brazzoln@usys.ethz.ch,https://cp.ethz.ch/,1,1,,1,,,,,"Climate Policy. Energy Modelling, Climate Adaptation, Climate Mitigation",1,1,,,,,,6 months (maybe more),,47.3791,8.5384
U517,Germany,Max Planck Institute for the Science of Light,"The division of biological optomechanics at the Max Planck Institute for the Science of Light in Erlangen can offer stipends/work contracts for scientists at all levels in the area of biophysics, biophotonics and especially data scientist/programmer on short notice and for extended periods of time. At the institute, we have additional support structures (language courses, help with finding children day care, etc) for employees.",guck-office@mpl.mpg.de,https://mpl.mpg.de/divisions/guck-division/,1,1,,,1,,,,"Cellular biophysics, biophotonics, cell and tissue mechanics, disease diagnostics",1,,,1,1,,,"Flexible, as needed",,49.5824,11.0253
U518,Austria,Oroboros Instruments GmbH,"Oroboros Instruments (Innsbruck, AT) offers a 1-year scientific position to help Ukraine women in science to pursue their career and continue to gain expertise in bioenergetics (mitochondrial and cell respiration, photobiology). If the consequences of war make a prolonged stay necessary, we are open to extend the contract - in the spirit of Gentle Science. If she intends to return home when scientific work can be continued in Ukraine, we will support her with a donation of our internationally leading instrument (represented in 49 countries). The running costs are low.\nAdditionally, if you require support at the time of war as a science journalist, you may join the editorial team of the journal Bioenergetics Communications.",instruments@oroboros.at,https://wiki.oroboros.at/index.php/O2k-Network,1,,,,1,,,,Mitochondria and chloroplast physiology,1,,,,1,,,1 year,,47.2605,11.3872
U519,Italy,"National Laboratory of Molecular Biology and Stem Cell Engineering, National Institute of Biostructures and Biosystems","Job opportunity (at least 6 months, with a renewable contract) for Ukrainian scientist, postdoctoral scientist with master degree in biology, biotechnology, medicine or veterinary, to conduct research in collaboration with INBB, The Interuniversity Consortium “Istituto Nazionale Biostrutture e Biosistemi”, in the field of stem cell biology (cell isolation, expansion and characterization)",clo.cavallini@gmail.com,http://www.inbb.it/,1,,,,1,,,,Stem cell biology,,,,,1,,,"At least 6 months, with a renewable contract",,41.9208,12.4427
U520,Germany,Max-Planck Institute for the Science of Light,"Guck Division offers master, PhD, Postdoc positions (full-time, part-time) at MPL for Data Scientists (Python or C++, algorithm development, image analysis, code maintenance, etc.).",paul.mueller@mpl.mpg.de,https://mpl.mpg.de,1,1,,,1,,,,"Biophysics, Image analysis, Python Software Development",1,,,1,1,,,"Flexible, 3 months +",,49.5824,11.0253
U521,Germany,Max Planck Institute for Chemical Ecology,"All research groups of the institute offer - depending on the research interests - a research stay for up to 6 months, and accommodation in our guest house (if available). Help with settling down in Jena, including childcare, schools etc.",info@ice.mpg.de,https://www.ice.mpg.de/,1,1,,1,1,,,,"Chemical Ecology, Secondary Metabolites, Plants, Insects, Symbiosis, Neuroethology",1,,,,,,,Initially up to 6 months,,50.9107,11.5660
U522,Austria,University of Vienna,"Refugee researchers as ""Research Fellows"": Researchers can get quick help (e.g. e-mail address, access to library resources or offices) via the status ""Research Fellow"". This designation is assigned by the dean's office/office of the center.\nFurther information is provided by the relevant dean's office: find - Faculties and Centers: https://www.univie.ac.at/en/about-us/governance-structure/faculties-centres/\nResearch fields: https://www.univie.ac.at/en/about-us/at-a-glance/strategic-priorities/",rektorat@univie.ac.at,https://ukraine.univie.ac.at/en/,1,,,,,,,,,,,,,,,1,,,48.2044,16.3606
U523,Italy,TWL Systems Srl,"We provide full time employment for students, researchers working on back end web applications development (Asp.net, ql server etc).",giorgio.grifoni@twl-systems.com,https://www.twl-systems.com/?lang=eng,1,1,,,1,,,,Internet of Things,,,,1,,,,,,45.9490,12.9702
U524,Portugal,blueOASIS,"1) Researcher/Project Manager work on Offshore Aerodynamic and Hydrodynamics. Full-time employment. \nComputer, Programming and Engineering skills apreciated. Numerical methods and ML/AI skills needed. English language needed (Portuguese we will teach you). Send CV please. \n2) Msc thesis opportunities (9 months).\nPortuguese language course. Health insurance. Travel costs to Portugal.",gvaz@blueoasis.pt,https://blueoasis.pt/about-us/careers/,1,1,,,1,,,,"Offshore hydrodynamics, aerodynamics. Renewable Energies. Ocean sustainability. Numerical Methods. AI. HPC.",,,,1,,,,1 year at least,,38.9646,-9.4175
U525,Bulgaria,"Institute of Mathematics and Informatics, Bulgarian Academy of Sciences","Support for PhD students, Postdocs and faculty - full- and part-time positions at the Institute of Mathematics and Informatics of the Bulgarian Academy of Sciences, possible 3+ research visits, accomodation assistance.",director@math.bas.bg,https://math.bas.bg/?lang=en,1,,,,1,,,,Mathematics and Informatics,,,,1,,,,"3+ months, possible 1+ year positions",,42.6750,23.3664
U526,Bulgaria,"Institute of General and Inorganic Chemistry, the Bulgarian Academy of Sciences","PhD or post-doc students in the area of solid state chemistry, surface science and catalysis, inorganic chemistry, analytical chemistry. Thematic priority: materials and thin films for environmental protection; materials for clean energy storage; ceramics/bioceramics and glasses for better life (https://twinteam.igic.bas.bg/). Financial support for at least 3 months will be available on request. Part employment of PhD and post-doc students within the project CARiM will also be available  (https://vihrencarim2019.com/). All access to the lab facilities will be guarantee.",radstoy@svr.igic.bas.bg,http://www.igic.bas.bg/en/home-3/,1,1,,,1,,,,"solid state chemistry, surface science and catalysis, inorganic chemistry, analytical chemistry",1,,,,,,,,,42.6765,23.3645
U527,Bulgaria,"Institute of Metal Science, Equipment and Technology with Hydroaerodynamic Centre at Bulgarian Academy of Sciences","The Institute is located in Sofia. We can offer various area of research, for example: theoretical and experimental study of hydrogen embrittlement of iron materials; development of technologies for high porosity aluminum materials; technologies for protective surface layers; metallic glasses and others. Research stay could be at last 3 mounts. we can teach PhD students or employ half or full time academic or technical staff.",drenchevl@abv.bg,https://ims.bas.bg/?lang=en,1,1,,1,1,,,,"theoretical and experimental study of hydrogen embrittlement of iron materials, development of technologies for high porosity aluminum materials, technologies for protective surface layers; metallic glasses and others",,,,1,,,,,,42.6793,23.3669
U528,Estonia,"Mycology and Microbiology Center, University of Tartu","The Mycology and Microbiology Center at the University of Tartu offers PhD study opportunities and more senior research positions to students and scholars fleeing Ukraine. This opportunity involves working at a soil or molecular laboratory. Research topics include biodiversity, mycology, environmental microbiology, and nature conservation. Funding will be provided. For more information and applying contact Prof. Leho Tedersoo (leho.tedersoo@gmail.com).",leho.tedersoo@gmail.com,https://mmc.ut.ee/home-1?lang=en,1,1,,,1,,,,"Biodiversity, mycology, environmental microbiology, and nature conservation",1,,,,,,,,,58.3811,26.7177
U529,Netherlands,"Radboud University in Nijmegen, Department of Language and Genetics","We will be  able to create several position for Ukrainian scientists, yet actual details will strongly depend per case. Please contact us for more details.",simon.fisher@mpi.nl,https://www.mpi.nl/department/language-genetics/2,1,,,,1,,,,Genetics,1,,,,1,,,,,51.8192,5.8608
U530,Switzerland,"The Digital and Cognitive Musicology Lab, Ecole Polytechnique Federale de Lausanne","The Digital and Cognitive Musicology Lab at Ecole Polytechnique Fédérale de Lausanne is looking for a Ukrainian musicologist, psychologist or computer scientist at risk from the war. Get in touch, we might be able to help. https://www.epfl.ch/labs/dcml/",dcml@epfl.ch,https://www.epfl.ch/labs/dcml/,1,1,,,1,,,,"Music, Psychology, Computer Science, Cognitive Science",,1,1,,,,,,,46.5191,6.5646
U531,Israel,Ben-Gurion University of the Negev,"Are you a student/scholar affected by the war in Ukraine, Ben-Gurion University of the Negev (BGU) in Israel invites you to join a research lab or take courses at BGU. If you are interested in spending a semester at BGU, taking courses or conducting an academic internship in a research lab, you are invited to enroll. Eligible candidates in need will be provided with accommodation and a scholarship. Don't miss this opportunity to conduct your research with BGU's leading scientists. Application through BGU International (https://www.tfaforms.com/399172). Or email: oiaa@bgu.ac.il.\nWe can: • Help with student visa; • Find a lab or program that suits you;  • Offer accommodation and scholarship; • Be your home away from home. About BGU (https://in.bgu.ac.il/en/Pages/about.aspx)",oiaa@bgu.ac.il,https://in.bgu.ac.il/en/international/Pages/Scholars-bgu.aspx,1,1,,1,1,,,,,,,,,,,1,4 months,,31.2614,34.7974
U532,Finland,University of Oulu,"A research group (http://cosmicrays.oulu.fi/rg/) at the University of Oulu would provide a temporal qualified research job for a refugee of Ukrainian-Russian war, at a PhD-student level (or other upon agreement) in the field of solar, heliospheric, atmospheric or cosmic-ray physics.",ilya.usoskin@oulu.fi,http://cosmicrays.oulu.fi/rg/,1,1,,,1,,,,"Solar physics, heliosphere, cosmic rays, atmosphere",1,,,,,,,,,65.0593,25.4641
U533,Germany,"Technical University Munich, Institute for Advanced Study","For senior researchers and professors, we have established a Fellowship program to provide scholarships for an initial six-month research stay at TUM. The program is organized by the TUM-IAS, which is experienced in bringing international scientists to TUM.",marsch@zv.tum.de,https://www.ias.tum.de/ias/news/news-single-view/article/support-program-fellowships-for-ukrainian-researchers/,1,,,1,1,,,,,,,,1,,,,,,48.2672,11.6564
U534,Slovakia,Pavol Jozef Šafárik University in Košice,Mobility funding UPJS4UA for students and researchers from Ukraine. Accommodation in the university dormitories for families of our Ukrainian students and free therapy services.,michal.gallay@upjs.sk,https://www.upjs.sk/en/actualities/mobility-programs-ua/,1,1,,1,,,,,,1,1,1,,1,,,,,48.7193,21.2490
U535,Portugal,Portuguese Catholic University - Porto,Neuroscience Lab can provide facilities access and a friendly academic environment.,posilva@ucp.pt,https://fep.porto.ucp.pt/pt-pt/docentes-investigacao-overview/human-neurobehavioral-laboratory-hnl,1,1,,,,,,,Neuroscience,,,,,1,,,,,38.7493,-9.1682
U536,Germany,TU Bergakademie Freiberg,"We can invite scientists, engineers, students from Ukraine for the next months and can provide some financial support and accomodation. \nTu BAF offers admission to Ukrainian university students. Applications from Ukrainian students for admission to the University  under a separate right to study are, in this initial phase, accepted from 8 March 2022 to 30 March 2022. Students admitted to the university may start their studies already on 1 April 2022, and their study right will be valid until 31 September 2023. Please contact us directly by email. Help finding children day care facilities, student-body, intensive language courses and similar.",international@tu-freiberg.de,https://tu-freiberg.de/en,1,1,,,,,,,All,1,,,1,,,1,,,50.9182,13.3406
U537,Germany,Max Planck Institute of Biophysics,"The Max Planck Institute of Biophysics in Frankfurt/Main offers accommodation to Ukrainian students and researchers in the guest house located on the Riedberg campus. For natural scientists, we can also provide access to laboratories, desks, research equipment, computers, and the library upon request.",katharina.kaefer@biophys.mpg.de,https://www.biophys.mpg.de/en,1,1,,1,,,,,Biophysics,1,,,,,,,,,50.1736,8.6303
U538,Luxembourg,Luxembourg Institute of Health,"The Deep Digital Phenotyping research unit (DDP) lead by Dr Guy Fagherazzi in the Department of Precision Health at the Luxembourg Institute of Health offers a full-time Internship for 6 months or a Post-Doctoral Fellowship for 12 months with focus on identification of digital vocal biomarkers for chronic disease monitoring. Required Skills: Training in data science/AI, English writing skills",lih.recruitment@lih.lu,https://www.lih.lu/en/research-scope/research-department/department-of-precision-health/deep-digital-phenotyping-research-unit/,1,1,,,1,,,,"Digital Health, Digital Biomarkers, AI, Epidemiology, Clinical Research",,,,,1,,,6 or 12 months (depending on the type of position),,49.6201,6.0939
U539,Switzerland,University of St. Gallen,The Research Group of Comparative Politics held by Prof. Tina Freyburg at the Institute of Political Science of the University of St. Gallen invites highly motivated researchers with a Ukrainian background to apply for a position as doctoral researcher in Comparative Politics.,ipw@unisg.ch,https://ipw.unisg.ch/,,1,,,1,,,,Comparative Politics,,1,,,,,,,,47.4327,9.3730
U540,Romania,Politehnica University of Timisoara,"Possibility to continue studies in all cycles (Bachelor, master, PhD) for the current and next academic year (i.e. incl. 2022-2023). For programs taught in Romanian, proof of language knowledge is required. \nAdditionally, there are 120 places in student dormitories available to refugees. \nThrough the initiative ""Solidarity with Ukraine for Research and Education"", UPT offers integration of Ukrainian scientists, use of labs and research equipment, the possibility to teach as well as accommodation. For more details, please contact incoming@upt.ro or call +40-256-403187 (during 12:00-15:30).",incoming@upt.ro,https://www.upt.ro/Informatii-utile_o-noua-initiativa-a-universitatii-politehnica-timisoara-_737_ro.html,1,1,,1,,,,,,,,,1,,,,,,45.7536,21.2230
U541,Hungary,Femtonics Research and Development Ltd.,"Ukrainian Research Scientist in the field of Neuroscience is warmly welcomed to Femtonics Research and Development Ltd, Budapest, Hungary. \nWebsite: https://femtonics.eu/  We are a novel translational institute BVC (BrainVisionCenter) devoted to develop laser scanning microscopes in the field of neuroscience and towards realizing medical solutions. Applied scanning methods include both mirror- and state of the art acousto-optic based deflectors, and combination of these imaging methods with novel photo stimulation techniques. Looking for MSc, PhD or postdoc candidates. Open position: https://femtonics.eu/careers/research-scientist/\nOur contact address: hr@femtonics.eu",hr@femtonics.eu,https://femtonics.eu/careers/international-sales-representative/,1,1,,,,,,,Neuroscience,,,,,1,,,permanent job,,47.4805,19.0774
U542,Czech Republic,"University of West Bohemia, Pilsen","Department of Computer Science and Engineering can host PhD students (4 years funded) and paid short-term research visits. (language courses, student accommodation)",cse@kiv.zcu.cz,https://www.kiv.zcu.cz/en/research/research-areas/,1,1,,,1,,,,"software engineering, natural language processing, data sciences, medical informatics, computer graphics, embedded and communication systems",,,,1,,,,,,49.7237,13.3511
U543,Spain,Center for Cooperative Research in Biomaterials - CIC biomaGUNE,"Full time work contracts for Ukraine female PhD students, laboratory technicians and postdoctoral researchers for a period of 6 to 12 months. Subject to compliance with the regulations established at the time of recruitment for Ukrainian refugees in Spain.",allanes@cicbiomagune.es,https://www.cicbiomagune.es/job-offers,1,1,,,1,,,,"Biomaterials, Biofunctional nanomaterials, Bioengineering, MRI imaging, Radiochemistry and Nuclear Imaging.",1,,,1,,,,Full time work contracts for between 6 to 12 months. Subject to compliance with the regulations established at the time of recruitment for Ukrainian refugees in Spain.,,43.2888,-1.9828
U544,Netherlands,University Medical Center Utrecht,Translational research group offering paid positions (internships) for researchers to continue there research.,j.malda@umcutrecht.nl,https://www.maldalab.org/,1,1,,1,1,,,,"Regenerative medicine, tissue engineering, Biofabrication, Orthopaedics, 3D printing",,,,1,1,,,3-6 months,,52.0859,5.1786
U545,Portugal,INESC TEC,"INESC TEC offers funding opportunities for at least 3 months, Research grants (including tuition fees), R&D contracts available at https://www.inesctec.pt/en/work-with-us. Support for accommodation and Tuition fees for students pursuing a PhD",rh@inesctec.pt,https://www.inesctec.pt/en/work-with-us,1,1,,,1,,,,"Electrical, Computer Engineering",,,,1,,,,At least 3 months up to 4 years,"Help finding accommodation, children care and language courses.",41.1786,-8.6011
U546,Sweden,Uppsala University,The Kasson group offers support for a postdoc or visiting researcher in our research lab.  We can provide financial support.  Research interests are biophysical virology and both experimental and computational membrane biophysics.,peter.kasson@icm.uu.se,https://kassonlab.wordpress.com/,1,,,,1,,,,"Virology, membrane biophysics",1,,,,1,,,Up to 2 years,,59.8509,17.6278
U547,Bulgaria,"Institute of Polymers, Bulgarian Academy of Sciences",We offer part/full-time employment for researchers with experience in polymer chemistry and material science.,ppetrov@polymer.bas.bg,http://polymer.bas.bg,1,1,,,1,,,,"Polymer chemistry, material science",1,,,,,,,3 - 12 months,,42.6735,23.3647
U548,Germany,Leibniz Institute for Jewish History and Culture - Simon Dubnow,"1) Offers short-term fellowships for Ukrainian researchers of Jewish Studies/History for up to 3 months\n2) Offers to host Ukrainian Researchers with support by Volkswagenstiftung; Alexander von Humboldt-Stiftung, Philipp Schwartz-Initiative; DFG: Walter-Benjamin-Programm",info@dubnow.de,https://www.dubnow.de/en/,1,1,,,1,,,,Jewish History; Jewish Studies,,,1,,,,,3 months,,52.2443,21.0006
U549,Switzerland,ETH Zurich,"Funding opportunities for initial periods of 6 months available for students / researches / faculty with a background in Forestry / environmental sciences and English and/ or German skills. Researchers and students at FORM work on key themes feeding into decision processes in forest resources management. Examples include the enhancement of our scientific knowledge on natural processes, the development of sophisticated, large-​scale decision support systems that are based on such information, and the use of such information and systems for outreach to practical forest management.",verena.griess@gmx.com,https://form.ethz.ch/,1,1,,,1,,,,"Forestry, environmental sciences",1,,,,,1,,,,47.3534,8.5570
U550,Germany,Leipzig University,Computational chemistry group offers funded support for PhD/postdoc/faculty (part/full time) for ~3 months at Leipzig University. Interest in electronic structure theory (DFT) and molecular or surface chemistry preferred. Student internships possible. Will help get sorted.,ralf.tonner@uni-leipzig.de,https://woi2.chemie.uni-leipzig.de/en/homepage/tonner-zech-group/,1,1,,,1,,,,Computational Chemistry,1,,,,,,,,,51.3375,12.3746
U551,Canada,University of Manitoba,"The Mollard and MacKay research group can support 1 full-time MSc student for 24 months in the Department of Food and Human Nutritional Sciences at the University of Manitoba in Winnipeg, MB, Canada. Ideally we ar looking for a student who is interested in human nutrition research and clinical trials.",dylan.mackay@umanitoba.ca,https://umanitoba.ca/agricultural-food-sciences/food-and-human-nutritional-sciences/fhns-graduate-programs,,1,,,1,,,,Human Nutrition,,,,,1,,,"24 months, stipend for a 2-year Master's in Food and Human Nutritional Sciences",,49.8094,-97.1367
U552,Ireland,SFI CRT in Genomics Data Science,"We are a large PhD programme with PIs across 6 Irish Universities (NUIG, UCC, TCD, UCD, DCU and RCSI)in the area f Genomics Data Science.\nWe should be able to accept and fund Ukrainian PhD students in the area of Genomics/Bioinformatics into theprogramme and find a suitable host lab.",p.baranov@ucc.ie,https://genomicsdatascience.ie/,,1,,,1,,,,,1,,,1,1,,,can be up to the 4 years depending on a specific situation,,49.8108,-97.1361
U553,Ireland,University College Cork,A short term support is avaiilable for a researchers in the area of Bioinformatics and Translation Control,p.baranov@ucc.ie,https://lapti.ucc.ie,1,,,,1,,,,"Bioinformatics, genomics with a focus on mRNA translation and protein synthesis",1,,,,,,,to be determined depending on a specific situation,,51.8917,-8.4971
U554,Germany,Heidelberg Institute for Theoretical Studies,"The Astroinformatics (AIN) group at HITS in Heidelberg (Germany) offers opportunities ranging from PhD positions, internships to guest scientist positions. Please get in touch with us regarding the options.",info@h-its.org,https://www.h-its.org/2022/03/02/research-positions-at-hits-for-scientists-from-ukraine/,1,1,,,1,,,,"Astrophysics, Astroinformatics, Informatics, Computer Science, Machine Learning, AI",,,,1,,,,,,49.4153,8.7345
U555,Spain,Univeristy of Burgos,"The public universities of Castilla y León have agreed to offer 100 places to receive Ukrainian students in our Bachelor's, Master's and Doctorate degrees during this semester. They should be provided with adequate accommodation free of charge. Each university, according to its possibilities, will accommodate students in Residence Halls/Colleges, apartments or flats. Each student will receive a monthly allowance for general expenses, varying from 250€ to 500€.",centro.cooperacion@ubu.es,https://drive.google.com/file/d/1Qtq7tJ69j37aKistXo5HSzi0j4L3poYM/view?usp=sharing,,1,,1,1,,,1,All,,,,,,,1,This semester,,42.3413,-3.7329
U556,Spain,University of León,"The public universities of Castilla y León have agreed to offer 100 places to receive Ukrainian students in our Bachelor's, Master's and Doctorate degrees during this semester. They should be provided with adequate accommodation free of charge. Each university, according to its possibilities, will accommodate students in Residence Halls/Colleges, apartments or flats. Each student will receive a monthly allowance for general expenses, varying from 250€ to 500€.",recvri@unileon.es,https://drive.google.com/file/d/1Qtq7tJ69j37aKistXo5HSzi0j4L3poYM/view?usp=sharing,,1,,1,1,,,1,All,,,,,,,1,This semester,,42.5931,-5.5782
U557,Spain,University of Salamanca,"The public universities of Castilla y León have agreed to offer 100 places to receive Ukrainian students in our Bachelor's, Master's and Doctorate degrees during this semester. They should be provided with adequate accommodation free of charge. Each university, according to its possibilities, will accommodate students in Residence Halls/Colleges, apartments or flats. Each student will receive a monthly allowance for general expenses, varying from 250€ to 500€.",vic.international@usal.es,https://drive.google.com/file/d/1Qtq7tJ69j37aKistXo5HSzi0j4L3poYM/view?usp=sharing,,1,,1,1,,,1,All,,,,,,,1,This semester,,40.9613,-5.6691
U558,Spain,University of Valladolid,"The public universities of Castilla y León have agreed to offer 100 places to receive Ukrainian students in our Bachelor's, Master's and Doctorate degrees during this semester. They should be provided with adequate accommodation free of charge. Each university, according to its possibilities, will accommodate students in Residence Halls/Colleges, apartments or flats. Each student will receive a monthly allowance for general expenses, varying from 250€ to 500€.",Asuntos.sociales@uva.es,https://drive.google.com/file/d/1Qtq7tJ69j37aKistXo5HSzi0j4L3poYM/view?usp=sharing,,1,,1,1,,,1,All,,,,,,,1,This semester,,41.6569,-4.7147
U559,Italy,IMT School for Advanced Studies Lucca,"2 researchers and their families: paid contract as Visiting Professor, room and board available on IMT School Campus or in affiliated hotels. 4 doctoral students: paid scholarships, room and board on IMT School Campus or in affiliated hotels""",dir_office@imtlucca.it,https://www.imtlucca.it/,1,1,,1,1,,,1,"Computer Science and Systems Engineering Economics, Networks and Business Analytics Analysis and Management of Cultural Heritage Cognitive, Computational and Social Neurosciences",,1,1,1,,,,At least 1 year,,43.8455,10.5086
U560,Finland,Maria 01 - The Nordics' Leading Startup Campus,"Maria 01 would like to announce that anyone with a Ukrainian passport can use the space on our account if they need a calm place to work and access to the internet. One will not need an investment, a company, or any specific reason to use this, a Ukrainian passport will suffice. The users will adhere to the terms and guidelines of Maria 01 and the desks and space are given out based on the daily capacity.",anu@maria.io,https://maria.io,1,1,,1,,,,,,,,,,,,1,,,60.1668,24.9203
U562,Turkey,"Istanbul University, Faculty of Politics Science","As a Department of Polsci and International relations, we offer full time or part time employment for a faculty from Ukraine with a PHD in International Law, PolSci or IR, if possible in English. Contract to be extended each year upon satisfying academic performance. The faculty will be expected to lecture min. 10 hours per week in English. Women academics will be prioritized, however, good quality international publications and experience in research projects will be valued too.  Faculty of Literature can hire also teachers in Ukrainian language.\nWe have quotas for foreign students at undergraduate or gradudate level. Ukrainian students in IR or PolSci can apply to continue their education.",nurcan.ozgur@istanbul.edu.tr,https://avesis.istanbul.edu.tr/nurcan.ozgur,1,1,,,,,,1,"international relations, history, law, political science, EU studies, regional studies, migration studies, gender studies, sociology",,1,1,,,,,"faculty contracts are renewed yearly, students who can transfer their credits here can benefit from the oportunities provided to Ukrainian students",,41.0144,28.9630
U563,Germany,"CRC 'Cultures of Vigilance', LMU Munich","The CRC ‘Cultures of Vigilance’ offers a fellowship for researchers from the Ukraine, Russia and Belarus who are threatened by the war waged by on Ukraine. It enables the fellow to spend one semester (up to 6 months) in Munich at the LMU to conduct and present research and collaborate with other researchers.",alexander.zons@lmu.de,https://www.en.sfb1369.uni-muenchen.de/events/announcements/science-for-ukraine/index.html,1,1,,,1,,,,The CRC 1369 'Cultures of Vigilance' aims to research the historical and cultural foundations of vigilance on an interdisciplinary basis.,,,1,,,,,Up to six monts,,48.1536,11.5868
U564,Luxembourg,Luxembourg Institute of Health,The Multiomics Data Science Group (MODAS) lead by Dr Petr Nazarov in the Department of Cancer Research at the Luxembourg Institute of Health offers a full-time Internship of 6 months focused on application of deconvolution methods to bulk and single-cell RNA-seq data from glioma patients in order to identify components that could be linked to drug resistance. Required Skills: Master of Science or Bachelor of Science,lih.recruitment@lih.lu,https://www.lih.lu/en/research-scope/research-department/department-of-cancer-research/multiomics-data-science/,,1,,,1,,,,Deconvolution of transcriptomic profiles with focus on treatment resistance signatures,,,,,1,,,6 months,,49.6201,6.0939
U565,Netherlands,"Vrije Universiteit, IVM, prof. Philipp Pattberg","Support for researchers. Governance, public policy or international relations, empirical knowledge of environment/sustainability a plus",philipp.pattberg@vu.nl,https://vu.nl/en/about-vu/research-institutes/ivm,1,,,,1,,,,"governance, public policy or international relations, empirical knowledge of environment/sustainability a plus",,1,,,,,,up to 1 year,,52.3343,4.8648
U566,Sweden,"Lund University, Medical Microspectroscopy, Oxana Klementieva",Scholarship for an undergraduate student,oxana.klementieva@med.lu.se,https://portal.research.lu.se/en/organisations/medical-microspectroscopy,,1,,,1,,,,"Neuroscience, Biophysical Methods",1,,,,,,,,,55.7121,13.1956
U567,Sweden,Lund University,"Cell Death, Lysosomes and Artificial Intelligence group can host students or researchers interested in combining artificial intelligence and medicine/environmental science. Funding is available for short stays, and we can act as host for long-term funding applications (e.g. for the special Swedish scholarships for Ukrainian scientists). Remote work and studying also possible, supercomputing infrastructure available. Lund University is a top 100 university with a large artificial intelligence community which I help coordinate. Placements with other AI groups might also be available.",sonja.aits@med.lu.se,https://portal.research.lu.se/en/persons/sonja-aits,1,1,,1,1,,,1,"Artificial intelligence in medicine and environmental science (e.g. computer vision, natural language processing)",1,,,1,1,,,Short-term,Lund University is part of Scholars at Risk through which there are different types of support: https://www.staff.lu.se/research-and-education/international-opportunities-and-partnerships/international-collaborations/scholars-risk. Health care and schools are free for people re-located to Sweden and daycare is very cheap. Swedish language courses are provided through the university but English is sufficient as most Swedes are fluent and Lund has a large international community. Help with finding accommodation is available.,55.7099,13.1980
